Sheet Type,Position,Character List,Character Name,Text Color,Name Banner Color,Action Character List,Avatar List,Avatar Name,Background List,CG List,mini CG List,Sticker List,BGM List,Sound List,Type CG List
novel,center,empty,empty,,,,me,me,bg_uni_classroom_BR,cg_EP2_Lin_Minato,mcg_minatopunch,me_fear,bgm_Your_Love_Is_Home,sv_Whoosh,cg
chat,left,narrator,,ffffff,ffffff,default,me,me,bg_uni_classroom,cg_EP2_Lin_Akari,mcg_handkerchief,,bgm_Walking On Gravel Road Near Stream,sv_Walking_Footsteps_on_Woods_but_Fast,minicg
,right,me,me,ffffff,ffffff,default,mc,mc,bg_university_infront,cg_EP1_Tan_Akari1,mcg_DarkMatterFriedRice,,bgm_Silly Chicken,sv_Walking_Footsteps_on_Woods_3,image
,me,tan,Tan,ffffff,D2B48C,"Normal,enigma",bear_v01,bear_v01,bg_songkran_street,cg_EP1_Ni_Mi1,mcg_Coffee,,bgm_PublicBus_V1,sv_Walking Fade out,
,,professor,อาจารย์,ffffff,ffffff,aa,anonymous,anonymous,bg_restaurant02,cg_Blackscreen,mcg_Blackscreen,,bgm_Old stories,sv_Walking Fade out Duo,
,,nightrose,Nightrose,ffffff,FFFACD,Normal,,,bg_restaurant01,,mcg_AkariEatFriedriceK,,bgm_Mysterious_Clock_Cello_take2,sv_Walking Concrete Fast,
,,minato,Minato,ffffff,6633FF,Normal,,,bg_nurse's_room,,mcg_010301,,bgm_LoFi HipHop,sv_Table Thud,
,,man03,man03,ffffff,ffffff,"Normal,gangster",,,bg_nifront_wut,,,,bgm_Jazz Calm,sv_SWWalking,
,,man02,คนรอบข้าง,ffffff,ffffff,"Normal,gangster",,,bg_living_room_yamada,,,,bgm_Inspiring Corporate,sv_Stomach Growl,
,,man01,พี่ปฐมนิเทศ,ffffff,ffffff,"Normal,gangster",,,BG_in_University,,,,bgm_Epic_Gym_Rock_Take2,sv_Shine Sparking,
,,lucien,Lucien,ffffff,ffffff,Normal,,,bg_garden_evening,,,,bgm_Epic_Gym_Rock_Take1,sv_Search,
,,lin,Lin,ffffff,ffffff,"smile,Normal,nervous,happy",,,bg_garden,,,,bgm_Education,sv_Scooter,
,,grandfather,ปู่,ffffff,ffffff,Normal,,,bg_cooking_classroom,,,,bgm_Cozy,sv_School Bell,
,,akari,Akari,ffffff,33CC99,Normal,,,bg_convenience_store_shelf,,,,bgm_Big Canteen Ambience,sv_School bell tone,
,,,,,,,,,bg_convenience_store_infront,,,,bgm_Baguette,sv_Riser,
,,,,,,,,,bg_convenience_store_cashier,,,,,sv_Pop3,
,,,,,,,,,bg_bus8,,,,,sv_Pop2,
,,,,,,,,,bg_Blackscreen,,,,,sv_Pop1,
,,,,,,,,,bg_Blackscreen - Copy,,,,,sv_Pop Door,
,,,,,,,,,bg_bedroom_minato,,,,,sv_Plate placed table,
,,,,,,,,,bg_bedroom_akari,,,,,sv_Ping,
,,,,,,,,,,,,,,sv_Phone Ring,
,,,,,,,,,,,,,,sv_Open_App,
,,,,,,,,,,,,,,sv_Looting a toolbox,
,,,,,,,,,,,,,,sv_Look someone,
,,,,,,,,,,,,,,sv_Lays leg,
,,,,,,,,,,,,,,sv_Jump on Bed,
,,,,,,,,,,,,,,sv_Idea2,
,,,,,,,,,,,,,,sv_Idea,
,,,,,,,,,,,,,,sv_Heavy Knock door,
,,,,,,,,,,,,,,sv_Head Hit Low End Wallop,
,,,,,,,,,,,,,,sv_Hands Clasp,
,,,,,,,,,,,,,,sv_Grab1,
,,,,,,,,,,,,,,sv_Grab Chip,
,,,,,,,,,,,,,,sv_Get up on Bed,
,,,,,,,,,,,,,,sv_Frightened Game Hit,
,,,,,,,,,,,,,,sv_Footsteps,
,,,,,,,,,,,,,,sv_Footsteps Running Fade Away,
,,,,,,,,,,,,,,sv_FootSteps Fade away,
,,,,,,,,,,,,,,sv_Flip Phone,
,,,,,,,,,,,,,,sv_Flashback,
,,,,,,,,,,,,,,sv_Fast Wonder,
,,,,,,,,,,,,,,sv_Fast run meme,
,,,,,,,,,,,,,,sv_Egg Crack Fail,
,,,,,,,,,,,,,,sv_drag a chair,
,,,,,,,,,,,,,,sv_DoorOpen60259,
,,,,,,,,,,,,,,sv_Ding,
,,,,,,,,,,,,,,sv_Crack Egg Failx2,
,,,,,,,,,,,,,,sv_Crack Egg Fail,
,,,,,,,,,,,,,,sv_cloth_hard_take_away,
,,,,,,,,,,,,,,sv_ClothMovement,
,,,,,,,,,,,,,,sv_Clock Tick,
,,,,,,,,,,,,,,sv_Censor,
,,,,,,,,,,,,,,sv_cellphonePickup,
,,,,,,,,,,,,,,sv_Bubble pop,
,,,,,,,,,,,,,,sv_Body_Fall_Down_2,
,,,,,,,,,,,,,,sv_Body Fall,
,,,,,,,,,,,,,,sv_Big Switch,
,,,,,,,,,,,,,,sv_Bandage,
,,,,,,,,,,,,,,sv_alert,
,,,,,,,,,,,,,,sv_7_AM_Wake_Up_Call,
,,,,,,,,,,,,,,sv_59,
,,,,,,,,,,,,,,sv_33905 Cartoon wake up yawn 2-full,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
